"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/screens/shop/ProductsOverviewScreen.js", "JavaScript", 179, 0, 1, 18, 198
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/screens/shop/SentOrdersScreen.js", "JavaScript", 65, 0, 55, 11, 131
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/screens/user/AuthScreen.js", "JavaScript", 254, 0, 1, 15, 270
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/screens/user/LocationScreen.js", "JavaScript", 43, 0, 1, 8, 52
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/screens/user/UserName.js", "JavaScript", 8, 0, 0, 3, 11
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/screens/user/UserProductsScreen.js", "JavaScript", 135, 0, 1, 8, 144
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/screens/user/UserProfileScreen.js", "JavaScript", 239, 0, 1, 7, 247
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/store/actions/Chefproducts.js", "JavaScript", 140, 0, 90, 18, 248
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/store/actions/auth.js", "JavaScript", 136, 0, 2, 16, 154
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/store/actions/authChef.js", "JavaScript", 151, 0, 2, 16, 169
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/store/actions/cart.js", "JavaScript", 8, 0, 0, 3, 11
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/store/actions/cordinates.js", "JavaScript", 10, 0, 0, 3, 13
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/store/actions/orders.js", "JavaScript", 112, 0, 48, 16, 176
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/store/actions/products.js", "JavaScript", 139, 0, 90, 18, 247
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/store/reducers/Chefproducts.js", "JavaScript", 73, 0, 0, 5, 78
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/store/reducers/auth.js", "JavaScript", 18, 0, 0, 4, 22
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/store/reducers/authChef.js", "JavaScript", 18, 0, 0, 4, 22
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/store/reducers/cart.js", "JavaScript", 108, 0, 2, 5, 115
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/store/reducers/cordinates.js", "JavaScript", 16, 0, 0, 4, 20
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/store/reducers/orders.js", "JavaScript", 26, 0, 0, 4, 30
"/Users/saadahmed/Documents/GitHub/dailydishapp/DailyDish/store/reducers/products.js", "JavaScript", 73, 0, 0, 5, 78
"Total", "-", 6341, 7713, 486, 535, 15075
